product,Manufacturer,date,title,rating,body,clean_review,accuracy,activitymeasurement,activitymode,activityreminder,activitytracker,affordable,aiassistance,aibutton,alarm,alarmsetting,alarmvibration,alarmvibrator,alexa,alexaassistant,alexacommand,alexamode,alexasupport,altimeter,analog,assistance,audioquality,badmintonmode,band,bandrubber,barometer,battery,batterybackup,batterydurability,batteryindicator,batterylife,batteryperformance,batterypower,belt,beltquality,bloodoxygen,bloodoxygenmeasure,bloodpressure,bluetooth,bodymaterial,bpaccuracy,bpmachine,bpmeasure,bpmeasurement,bpmonitor,bpmonitoraccuracy,bpmonitoring,bpsymbol,breathingquality,breathmode,brightnesscontrol,budget,button,calculator,call,callsnotification,calorie,caloriecount,calorietracker,camerabutton,cameracontrol,carracingmode,charger,chip,circulardial,comfortability,compatibility,connectivity,cost,customdial,customercare,customerservice,customersupport,customisable,customisewatchface,customization,cyclingmode,data,datacalculation,datasyncs,design,dial,dialpadsensor,digitalcrownlockbutton,digitaltime,digitalwatch,display,displaybrightness,displaynavigation,displayquality,displayresolution,distancecalculation,distancemeasure,distancetracker,distancetracking,durability,ecg,excercisemode,exercisemode,exercisetracker,facesensor,fingerprint,firmware,firmwareupgrade,fitnessband,fitnessfeatures,fitnessmode,fitnessmonitor,fitnesssensor,fitnesstrack,flashlight,footstep,game,glass,glucosemonitor,googlemap,gps,gpsconnectivity,gpssignal,gpstracker,gpstracking,gui,handmotion,hardware,healthcheckaccuracy,healthmeasurement,healthmode,healthmonitor,healthmonitoring,healthreading,healthstats,healthtracker,heartbeat,heartbeataccuracy,heartbeatmeasurement,heartbeatsensor,heartbeattracker,heartmonitor,heartrate,heartrateaccuracy,heartratealert,heartratecount,heartratedetection,heartratemeasurement,heartratemonitor,heartratesensor,leatherquality,leatherstrap,livetrackingaccuracy,location,lockscreen,loudspeaker,magnet,magnetic,malfunction,material,measurement,medicalmonitoring,memory,mensurationtracker,metal,metalbody,metaldesign,metallic,metallicbody,metallicdesign,mic,micquality,money,monitoringfunction,motiondetection,multiplesport,multisportmode,music,musicfacility,notification,operatingspeed,operatingsystem,outdooractivity,oxygen,oxygenlevel,oxygenmonitor,oxygenmonitoring,oxygensaturationlevelmeasurement,pedometer,phoneconnectivity,physicalactivity,picture,pixel,plasticbody,plasticmaterial,powerbackup,powerbutton,powerconsumption,powersavingmode,pricesegment,pricing,processor,proximitysensor,pulseoximeter,pulseratereading,quality,range,reading,realtimeconnect,reasonableprice,remotecameracontrol,report,responsetime,roundwatch,rubberband,screen,screenclarity,screencustomization,screengaurd,screensensitivity,screentimeout,security,sedentaryalert,sensor,sensorydata,service,servicecenter,servicecentre,servicefacility,servicestation,shape,sidebutton,sidepowerbutton,silentmode,siliconbelt,size,sleepaccuracy,sleepactivity,sleepdetection,sleepduration,sleepingtrack,sleepmeasurement,sleepmode,sleepmonitoring,sleeppattern,sleepreading,sleeprecord,sleepsensor,sleeptrack,sleeptracker,sleeptrackingaccuracy,sleeptrackingmonitor,slidebutton,smsnotification,snapchatnotification,socialmedianotification,software,softwaredevelopment,softwareglitch,sound,soundadjustment,speaker,specs,speedometer,spo2tracking,sport,sporttracker,stepcalculation,stepcounter,stepcounting,stepmeasurement,stepmonitor,steprecording,steptracker,steptracking,stopwatch,storage,strap,strapdesign,strapholder,straplockingsystem,strapquality,stress,stresslevel,stressmeasure,stressmode,stressmonitor,stressstats,stylish,supportteam,swimmingmode,swimmode,synchronization,systeminterface,technicalteam,temperature,temperedglass,tennismode,time,timeadjustment,timesensitivity,touchdesign,touchdisplay,touchfacility,touchnotification,touchpad,touchresponse,touchscreen,touchsensation,touchsense,touchsensitive,touchsensitivity,touchsystem,tracking,trackingaccuracy,trackingactivity,trackingsensor,trainingmode,treadmillmode,ui,userinterface,vibration,vibrationalarm,vibrationmode,visibility,voice,voiceassistant,voicefunction,volumebar,volumebutton,volumecontrol,wakegesturebutton,wakupmode,walktracking,wallpaper,wallpapertimestyle,warrantyservice,wateralert,waterdrinkingalert,waterproof,waterreminder,waterresist,waterresistance,weather,weatherforecast,weathericon,weatherreport,whatsappnotification,wirelesscharge,workoutmeasurement,workoutmode,workoutsessionsummary,workouttracker,airplanemode,alertactivityalarm,alexafunctionality,analogdial,appsynchronization,audioconnectivity,batteryoptimisation,batterypercentageindicator,batterysaving,bpmsensor,bptrack,caloriecalculation,caloriedata,cardioexcercisetracking,compatability,customisedface,cyclingmonitoring,footstepaccuracy,footstepcount,handwashreminder,healthaccuracy,healthcarekit,healthstatus,hearttracker,inactivityalert,lagtime,menstrualcycledata,menstrualtracker,multiplemode,notificationsupport,operatingfunction,outdoorcyclingactivity,pulsemonitor,remoteshuttercontrol,repairservice,runningmode,servicequality,silencemode,sleepingaccuracy,sleepschedule,softwaresupport,splitscreen,stockmonitoring,stressreport,touchnavigation,wakeupmode,whatsappalert,workoutdetection,workoutmonitoring,workoutroutine
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,07-08-2016,Wake up Samsung - Don cheat,1,I have the same strap getting off issue. Bull s____  for 22k,i have the same strap getting off issue . bull s____ for 22 k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,10-03-2016,"How the hell you can charge Rs 39, 000 ...",1,"How the hell you can charge Rs 39,000 for this watch!!! MRP of this watch is around Rs 21,000 so how can charge more than Retail Price!!! Such a FRAUD","how the hell you can charge r 39,000 for this watch mrp of this watch is around r 21,000 so how can charge more than retail price such a fraud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,11-06-2016,Water proof,5,I can work using gear s2 when I am in shower because it work well in water,i can work using gear s2 when i am in shower because it work well in water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,12-08-2016,Worst Smart Watch to Buy,1,"Prefer Moto 360 or Fossil Smart waches, Their UI has hell lotta issues and compatibility issues with different android phones.","prefer moto 360 or fossil smart waches , their ui ha hell lotta issues and compatibility issues with different android phone .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,7/18/2018,# Conclusion Only Must know @,4,"Conclusion OnlyEven though the Gear S3’s release is imminent, the Gear S2 remains a beautiful piece of industrial design, and a decent smartwatch. Updates to the software have come steadily, patching the serious connectivity bugs we identified in our initial review and adding some neat features, notably support for Samsung Pay. But without the enormous app market seen on the Apple Watch, it’s hard to say the Gear is a better product. Buy one and you’ll invariably find yourself wishing you could do more with it. That’s a shame, because Samsung has made a watch with possibly the best battery life, clearly the best interface to date, and one of the best designs we’ve seen.Looking for an alternative? There’s the Apple Watch, of course. Keep in mind that it requires an iPhone — and if you’re in the market for a Gear, you probably own a Galaxy or Android phone. (Given the jaw-droppingly frustrating app store experience on other Android phones, we heartily discourage non-Galaxy owners from buying the Gear S2.) Android Wear watches are getting better, but they still aren’t great. If you want to explore that route, try one of the new Moto 360s or the Huawei Watch, or keep your eyes out for the Gear S2’s big brother, the Gear S3. The Gear S2 retails for about $300 and most other watches hover around that price.Alternatively, you could choose to go low tech. We like the simple Withings Activite and Activite Pop, though they’re made for slender wrists.HighsBeautiful round designElegant, fluid user interfaceRotating bezel is a true innovation2-3 day battery lifeLowsBarely any usable appsReactivation lock is buggyFitness functions are very limited","conclusion onlyeven though the gear s3 ’ s release is imminent , the gear s2 remains a beautiful piece of industrial design , and a decent smartwatch . update to the software have come steadily , patching the serious connectivity bug we identified in our initial review and ading some neat feature , notably support for samsung pay . but without the enormous app market seen on the apple watch , it ’ s hard to say the gear is a better product . buy one and you ’ ll invariably find yourself wishing you could do more with it . that ’ s a shame , because samsung ha made a watch with possibly the best batterylife , clearly the best interface to date , and one of the best design we ’ ve seen . looking for an alternative ? there ’ s the apple watch , of course . keep in mind that it requires an iphone — and if you ’ re in the market for a gear , you probably own a galaxy or android phone . given the jaw-droppingly frustrating app store experience on other android phone , we heartily discourage non-galaxy owner from buying the gear s2 . android wear watch are getting better , but they still aren ’ t great . if you want to explore that route , try one of the new moto 360 s or the huawei watch , or keep your eye out for the gear s2 ’ s big brother , the gear s3 . the gear s2 retail for about 300 and most other watch hover around that price . alternatively , you could choose to go low tech . we like the simple withings activite and activite pop , though they ’ re made for slender wrist . highsbeautiful round designelegant , fluid userinterfacerotating bezel is a true innovation2-3 day batterylifelowsbarely any usable appsreactivation lock is bugfitness function are very limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"samsung electronics store gear sport smartwatch, black (sm-r600nzkaxar) : amazon.in: electronics",samsung,09-07-2018,"1.0 out of 5 stars
One single lie",1,"Ok...1st of all the watch is good, I got mine from Samsung directly. My only concern- they don't have the facility of Samsung pay by gear & it's big one cause they are marketing the same.No one in  Samsung care was able to help resolve the same. So I give up &rated it 1star... rest watch delivers upto the expectations.
Read more","ok. 1 st of all the watch is good , i got mine from samsung directly . my only concern- they donot have the facility of samsung pay by gear it is big one because they are marketing the same . no one in samsung care wa able to help resolve the same . so i give up rated it 1 star . rest watch delivers upto the expectation . read more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"samsung electronics store gear sport smartwatch, black (sm-r600nzkaxar) : amazon.in: electronics",samsung,9/24/2018,"4.0 out of 5 stars
Go for it..Totally worth",4,"I got this gear through galaxy note 9 offer. I wasn't expecting much from the gear as I already have a fitbit versa. I was zapped when i received the product and after using it for few days.Nice built quality, amazing battery life. As it works on tizn OS, battery life is better compared to android watch. For me it lasts anywhr between 3 to 3.5 days with full charge (now this depends upon usage) my usage is avg & as ain't completely reliant on watch.Overall I'm very satisfied with the product & features as well. Although I think 39k is slightly overpriced and should have been priced around 25k.Smooth touch, crisp & sharp amoled display. UI is also simple. Easy to use and setup.
Read more","i got this gear through galaxy note 9 offer . i wasnot expecting much from the gear a i already have a fitbit versa . i wa zapped when i received the product and after using it for few day . nice built quality , amazing batterylife . a it work on tizn o , batterylife is better compared to android watch . for me it last anywhr between 3 to 3 . 5 day with full charge now this depends upon usage my usage is average a ainot completely reliant on watch . overall i 'm very satisfied with the product feature a well . although i think 39 k is slightly overpriced and should have been priced around 25 k . smooth touch , crisp sharp amoled display . ui is also simple . easy to use and setup . read more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,10-12-2018,My rating is 4.7,4,Watch is excellent than I thought but the battery life is very bad. It is draining so much that I have to charge minimum 5 to 6 times and at middle it is saying OVER HEATED so I have to off the watch and leave it for 15min.Do this Samsung company has any other model that has high battery life.Please do not show us all fake watches saying that this has two day battery life.  .......I hope you will update this problem........TQ.,watch is excellent than i thought but the batterylife is very bad . it is drain so much that i have to charge minimum 5 to 6 time and at midle it is saying over heated so i have to off the watch and leave it for 15 min . do this samsung company ha any other model that ha high batterylife . please do not show u all fake watch saying that this ha two day batterylife . i hope you will update this problem . tq .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"samsung electronics store gear sport smartwatch, black (sm-r600nzkaxar) : amazon.in: electronics",samsung,10/24/2018,"1.0 out of 5 stars
WORST EVER, PLZ DONT BUY",1,"Plz dont buy this watch. They claim its water resistant,  and inspite of not taking my watch in water my water was water damaged, and that too in warranty period. So now either i have to pay 7500 for the motherboard, or just throw the watch in the dustbin. I think latter would be better
Read more","plz do not buy this watch . they claim it waterresistant , and inspite of not taking my watch in water my water wa water damaged , and that too in warranty period . so now either i have to pay 7500 for the motherboard , or just throw the watch in the dustbin . i think latter would be better read more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazon.in:customer reviews: samsung gear s2 smartwatch for most android phones - dark gray,samsung,1/28/2019,Not at all worth it,1,This watch is not worth it none of the parts work I just spent 27000 on this product and now they won’t even take it back. An absolute waste of money and time.,this watch is not worth it none of the part work i just spent 27000 on this product and now they won ’ t even take it back . an absolute waste of money and time .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
